occ_code,automation_exposure,augmentation_exposure,theoretical_exposure,theoretical_exposure_conservative,automation_share,augmentation_share,classified_task_n
15-1241,0.05394381106930352,0.14475618893069647,0.9155585106382979,0.6352227393617021,0.27148369939256933,0.7285163006074307,26.0
15-1242,0.18898866529084216,0.14251133470915786,1.0,0.935483870967742,0.5701015544218466,0.4298984455781534,5.0
15-1243,0.22805798124466475,0.35064201875533524,1.0,0.9112466124661247,0.39408671374574866,0.6059132862542513,133.0
15-1244,0.13833218146199913,0.19896781853800086,0.918918918918919,0.7297297297297298,0.410116162057513,0.589883837942487,8.0
15-1251,0.343197849775733,0.401902150224267,1.0,0.95,0.46060642836630383,0.5393935716336962,11.0
15-1252,0.10680714142680045,0.18119285857319953,0.9473684210526316,0.8684210526315789,0.3708581299541683,0.6291418700458318,8.0
15-1253,0.20148543159248403,0.318014568407516,0.9473684210526316,0.8771929824561403,0.3878449116313456,0.6121550883686545,136.0
15-1254,0.18787045449479933,0.2923295455052007,1.0,0.9326923076923076,0.3912337661282785,0.6087662338717215,24.0
15-1255,0.09700961503144023,0.15199038496855977,1.0,0.75,0.38959684751582424,0.6104031524841758,150.0
15-1299,0.12091778092107706,0.18968221907892294,0.994949494949495,0.7357861863332168,0.38930386645549603,0.610696133544504,128.0
15-2011,0.011650260416666667,0.042249739583333334,1.0,0.5,0.21614583333333334,0.7838541666666666,4.0
15-2021,0.16595252854473155,0.2581474714552684,1.0,1.0,0.39130518402436115,0.6086948159756388,9.0
15-2031,0.1659894938803219,0.26281050611967816,1.0,0.6290322580645161,0.38710236445970586,0.6128976355402942,7.0
15-2041,0.07905609962812762,0.1316439003718724,1.0,0.7247368421052631,0.3752069275184035,0.6247930724815965,26.0
15-2051,,,1.0,0.6948232323232323,,,
15-2099,,,0.9666666666666668,0.8666666666666667,,,
17-1011,0.028101957320026384,0.05029804267997361,0.9069767441860463,0.4883720930232558,0.35844333316360183,0.6415566668363981,9.0
17-1012,0.0,0.0,0.8421052631578947,0.4210526315789473,,,4.0
17-1021,0.05290322580645161,0.027096774193548383,1.0,0.52,0.6612903225806451,0.33870967741935476,3.0
17-1022,0.00088,0.00132,0.8708333333333333,0.5100694444444445,0.39999999999999997,0.6,3.0
17-2011,0.033969924812030074,0.04133007518796993,0.9285714285714284,0.5714285714285714,0.45112781954887216,0.5488721804511278,2.0
17-2021,0.0,0.0,0.7777777777777777,0.4259259259259259,,,2.0
17-2031,0.0,0.1328,0.9487179487179488,0.5897435897435898,0.0,1.0,4.0
17-2041,0.0,0.0,0.8461538461538463,0.4615384615384615,,,3.0
17-2051,,,0.9086580086580086,0.48214285714285715,,,9.0
17-2061,0.0554614524474474,0.08983854755255262,0.9090909090909092,0.7272727272727273,0.38170304506157876,0.6182969549384213,5.0
17-2071,0.014206804081442079,0.04479319591855792,0.84375,0.5625,0.24079328951596746,0.7592067104840325,9.0
17-2072,0.030833415469890182,0.06906658453010983,0.8788515406162465,0.6200980392156863,0.3086427974963982,0.6913572025036019,13.0
17-2081,0.017388571428571427,0.018411428571428568,0.9814814814814814,0.5555555555555556,0.4857142857142857,0.5142857142857142,12.0
17-2111,0.0,0.0,0.91,0.5042307692307693,,,3.0
17-2112,0.012379138694930474,0.024320861305069528,0.9249138804457954,0.554355036527489,0.3373062314694952,0.6626937685305048,7.0
