year,coefficient,std_error,p_value,coefficient_pp,std_error_pp,base_year,joint_pretrend_p,nobs,occupations
2020,0.00010837862025176585,6.400443869513834e-05,0.09073211336781739,0.010837862025176585,0.006400443869513834,2023,0.18187639011044368,1183,239
2021,0.0001434013522559395,7.425269927268679e-05,0.05375307837059662,0.01434013522559395,0.0074252699272686785,2023,0.18187639011044368,1183,239
2022,6.290970227658835e-05,8.027838741558146e-05,0.4334475144473222,0.006290970227658835,0.008027838741558145,2023,0.18187639011044368,1183,239
2023,0.0,0.0,,0.0,0.0,2023,0.18187639011044368,1183,239
2024,4.4597315764060556e-05,4.480222192661559e-05,0.3197867229767004,0.0044597315764060555,0.004480222192661559,2023,0.18187639011044368,1183,239
2025,-5.180345272945762e-05,7.912231804836989e-05,0.5128052655686539,-0.005180345272945762,0.00791223180483699,2023,0.18187639011044368,1183,239
